River,Year,Date,Daily.Count
Fish.Creek,2020,6-Jul,0
Fish.Creek,2020,7-Jul,7
Fish.Creek,2020,8-Jul,161
Fish.Creek,2020,9-Jul,452
Fish.Creek,2020,10-Jul,165
Fish.Creek,2020,11-Jul,426
Fish.Creek,2020,12-Jul,820
Fish.Creek,2020,13-Jul,2743
Fish.Creek,2020,14-Jul,3359
Fish.Creek,2020,15-Jul,3578
Fish.Creek,2020,16-Jul,3983
Fish.Creek,2020,17-Jul,4213
Fish.Creek,2020,18-Jul,949
Fish.Creek,2020,19-Jul,8
Fish.Creek,2020,20-Jul,30
Fish.Creek,2020,21-Jul,257
Fish.Creek,2020,22-Jul,605
Fish.Creek,2020,23-Jul,1036
Fish.Creek,2020,24-Jul,84
Fish.Creek,2020,25-Jul,1349
Fish.Creek,2020,26-Jul,888
Fish.Creek,2020,27-Jul,2065
Fish.Creek,2020,28-Jul,140
Fish.Creek,2020,29-Jul,1683
Fish.Creek,2020,30-Jul,669
Fish.Creek,2020,31-Jul,222
Fish.Creek,2020,1-Aug,6162
Fish.Creek,2020,2-Aug,7586
Fish.Creek,2020,3-Aug,9368
Fish.Creek,2020,4-Aug,3587
Fish.Creek,2020,5-Aug,1292
Fish.Creek,2020,6-Aug,1384
Fish.Creek,2020,7-Aug,1367
Fish.Creek,2020,8-Aug,10
Fish.Creek,2020,9-Aug,26
Fish.Creek,2020,10-Aug,774
Fish.Creek,2020,11-Aug,1051
Fish.Creek,2020,12-Aug,69
Fish.Creek,2020,13-Aug,483
Fish.Creek,2020,14-Aug,1018
Fish.Creek,2019,3-Jul,0
Fish.Creek,2019,4-Jul,0
Fish.Creek,2019,5-Jul,0
Fish.Creek,2019,6-Jul,0
Fish.Creek,2019,7-Jul,0
Fish.Creek,2019,8-Jul,0
Fish.Creek,2019,9-Jul,1
Fish.Creek,2019,10-Jul,0
Fish.Creek,2019,11-Jul,0
Fish.Creek,2019,12-Jul,0
Fish.Creek,2019,13-Jul,0
Fish.Creek,2019,14-Jul,0
Fish.Creek,2019,15-Jul,0
Fish.Creek,2019,16-Jul,0
Fish.Creek,2019,17-Jul,0
Fish.Creek,2019,18-Jul,0
Fish.Creek,2019,19-Jul,0
Fish.Creek,2019,20-Jul,0
Fish.Creek,2019,21-Jul,1890
Fish.Creek,2019,22-Jul,3479
Fish.Creek,2019,23-Jul,3798
Fish.Creek,2019,24-Jul,11792
Fish.Creek,2019,25-Jul,11007
Fish.Creek,2019,26-Jul,1269
Fish.Creek,2019,27-Jul,36
Fish.Creek,2019,28-Jul,381
Fish.Creek,2019,29-Jul,3246
Fish.Creek,2019,30-Jul,1468
Fish.Creek,2019,31-Jul,66
Fish.Creek,2019,1-Aug,1435
Fish.Creek,2019,2-Aug,980
Fish.Creek,2019,3-Aug,926
Fish.Creek,2019,4-Aug,2538
Fish.Creek,2019,5-Aug,2353
Fish.Creek,2019,6-Aug,6872
Fish.Creek,2019,7-Aug,6664
Fish.Creek,2019,8-Aug,3057
Fish.Creek,2019,9-Aug,1396
Fish.Creek,2019,10-Aug,2068
Fish.Creek,2019,11-Aug,788
Fish.Creek,2019,12-Aug,423
Fish.Creek,2019,13-Aug,389
Fish.Creek,2019,14-Aug,1290
Fish.Creek,2019,15-Aug,285
Fish.Creek,2019,16-Aug,285
Fish.Creek,2019,17-Aug,235
Fish.Creek,2019,18-Aug,763
Fish.Creek,2019,19-Aug,300
Fish.Creek,2019,20-Aug,83
Fish.Creek,2019,21-Aug,39
Fish.Creek,2019,22-Aug,26
Fish.Creek,2019,23-Aug,1178
Fish.Creek,2019,24-Aug,287
Fish.Creek,2019,25-Aug,498
Fish.Creek,2019,26-Aug,935
Fish.Creek,2019,27-Aug,207
Fish.Creek,2019,28-Aug,99
Fish.Creek,2019,29-Aug,34
Fish.Creek,2019,30-Aug,85
Fish.Creek,2019,31-Aug,31
Fish.Creek,2019,1-Sep,429
Fish.Creek,2019,2-Sep,106
Fish.Creek,2019,3-Sep,57
Fish.Creek,2019,4-Sep,7
Fish.Creek,2019,5-Sep,8
Fish.Creek,2019,6-Sep,9
Fish.Creek,2019,7-Sep,87
Fish.Creek,2019,8-Sep,177
Fish.Creek,2019,9-Sep,34
Fish.Creek,2019,10-Sep,2
Fish.Creek,2019,11-Sep,3
Fish.Creek,2019,12-Sep,4
Fish.Creek,2019,13-Sep,6
Fish.Creek,2019,14-Sep,4
Fish.Creek,2019,15-Sep,33
Fish.Creek,2019,16-Sep,2
Fish.Creek,2019,17-Sep,70
Fish.Creek,2019,18-Sep,4
Fish.Creek,2019,19-Sep,2
Fish.Creek,2019,20-Sep,2
Fish.Creek,2019,21-Sep,3
Fish.Creek,2018,5-Jul,0
Fish.Creek,2018,6-Jul,0
Fish.Creek,2018,7-Jul,0
Fish.Creek,2018,8-Jul,0
Fish.Creek,2018,9-Jul,557
Fish.Creek,2018,10-Jul,2032
Fish.Creek,2018,11-Jul,1220
Fish.Creek,2018,12-Jul,1426
Fish.Creek,2018,13-Jul,410
Fish.Creek,2018,14-Jul,1072
Fish.Creek,2018,15-Jul,148
Fish.Creek,2018,16-Jul,424
Fish.Creek,2018,17-Jul,103
Fish.Creek,2018,18-Jul,550
Fish.Creek,2018,19-Jul,484
Fish.Creek,2018,20-Jul,1998
Fish.Creek,2018,21-Jul,3785
Fish.Creek,2018,22-Jul,3469
Fish.Creek,2018,23-Jul,3290
Fish.Creek,2018,24-Jul,394
Fish.Creek,2018,25-Jul,55
Fish.Creek,2018,26-Jul,49
Fish.Creek,2018,27-Jul,0
Fish.Creek,2018,28-Jul,0
Fish.Creek,2018,29-Jul,79
Fish.Creek,2018,30-Jul,0
Fish.Creek,2018,31-Jul,21
Fish.Creek,2018,1-Aug,1384
Fish.Creek,2018,2-Aug,4448
Fish.Creek,2018,3-Aug,5351
Fish.Creek,2018,4-Aug,4738
Fish.Creek,2018,5-Aug,37
Fish.Creek,2018,6-Aug,5065
Fish.Creek,2018,7-Aug,6972
Fish.Creek,2018,8-Aug,2363
Fish.Creek,2018,9-Aug,680
Fish.Creek,2018,10-Aug,623
Fish.Creek,2018,11-Aug,2142
Fish.Creek,2018,12-Aug,2109
Fish.Creek,2018,13-Aug,2849
Fish.Creek,2018,14-Aug,1714
Fish.Creek,2018,15-Aug,1629
Fish.Creek,2018,16-Aug,301
Fish.Creek,2018,17-Aug,1973
Fish.Creek,2018,18-Aug,354
Fish.Creek,2018,19-Aug,1271
Fish.Creek,2018,20-Aug,254
Fish.Creek,2018,21-Aug,1241
Fish.Creek,2018,22-Aug,608
Fish.Creek,2018,23-Aug,355
Fish.Creek,2018,24-Aug,469
Fish.Creek,2018,25-Aug,301
Fish.Creek,2018,26-Aug,175
Fish.Creek,2018,27-Aug,179
Fish.Creek,2018,28-Aug,45
Fish.Creek,2018,29-Aug,30
Fish.Creek,2018,30-Aug,34
Fish.Creek,2018,31-Aug,24
Fish.Creek,2018,1-Sep,52
Fish.Creek,2018,2-Sep,31
Fish.Creek,2018,3-Sep,15
Fish.Creek,2018,4-Sep,19
Fish.Creek,2018,5-Sep,40
Fish.Creek,2018,6-Sep,25
Fish.Creek,2018,7-Sep,31
Fish.Creek,2018,8-Sep,6
Fish.Creek,2018,9-Sep,2
Fish.Creek,2018,10-Sep,11
Fish.Creek,2018,11-Sep,2
Fish.Creek,2018,12-Sep,0
Fish.Creek,2018,13-Sep,2
Fish.Creek,2018,14-Sep,9
Fish.Creek,2018,15-Sep,27
Fish.Creek,2018,16-Sep,0
Fish.Creek,2023,20-Jun,0
Fish.Creek,2023,21-Jun,0
Fish.Creek,2023,22-Jun,0
Fish.Creek,2023,23-Jun,0
Fish.Creek,2023,24-Jun,0
Fish.Creek,2023,25-Jun,0
Fish.Creek,2023,26-Jun,0
Fish.Creek,2023,27-Jun,0
Fish.Creek,2023,28-Jun,0
Fish.Creek,2023,29-Jun,0
Fish.Creek,2023,30-Jun,0
Fish.Creek,2023,1-Jul,0
Fish.Creek,2023,2-Jul,0
Fish.Creek,2023,3-Jul,0
Fish.Creek,2023,4-Jul,0
Fish.Creek,2023,5-Jul,0
Fish.Creek,2023,6-Jul,0
Fish.Creek,2023,7-Jul,316
Fish.Creek,2023,8-Jul,180
Fish.Creek,2023,9-Jul,593
Fish.Creek,2023,10-Jul,0
Fish.Creek,2023,11-Jul,0
Fish.Creek,2023,12-Jul,810
Fish.Creek,2023,13-Jul,1313
Fish.Creek,2023,14-Jul,395
Fish.Creek,2023,15-Jul,163
Fish.Creek,2023,16-Jul,737
Fish.Creek,2023,17-Jul,1578
Fish.Creek,2023,18-Jul,2097
Fish.Creek,2023,19-Jul,3413
Fish.Creek,2023,20-Jul,3585
Fish.Creek,2023,21-Jul,4075
Fish.Creek,2023,22-Jul,1490
Fish.Creek,2023,23-Jul,1049
Fish.Creek,2023,24-Jul,1186
Fish.Creek,2023,25-Jul,1896
Fish.Creek,2023,26-Jul,1816
Fish.Creek,2023,27-Jul,2035
Fish.Creek,2023,28-Jul,1329
Fish.Creek,2023,29-Jul,2066
Fish.Creek,2023,30-Jul,3612
Fish.Creek,2023,31-Jul,551
Fish.Creek,2023,1-Aug,548
Fish.Creek,2023,2-Aug,91
Fish.Creek,2023,3-Aug,805
Fish.Creek,2023,4-Aug,1100
Fish.Creek,2023,5-Aug,1176
Fish.Creek,2023,6-Aug,401
Fish.Creek,2023,7-Aug,745
Fish.Creek,2023,8-Aug,523
Fish.Creek,2023,9-Aug,509
Fish.Creek,2023,10-Aug,212
Fish.Creek,2023,11-Aug,279
Fish.Creek,2023,12-Aug,176
Fish.Creek,2023,13-Aug,205
Fish.Creek,2023,14-Aug,89
Fish.Creek,2023,15-Aug,51
Fish.Creek,2023,16-Aug,97
Fish.Creek,2023,17-Aug,186
Fish.Creek,2023,18-Aug,186
Fish.Creek,2023,19-Aug,51
Fish.Creek,2023,20-Aug,46
Fish.Creek,2023,21-Aug,112
Fish.Creek,2023,22-Aug,115
Fish.Creek,2023,23-Aug,221
Fish.Creek,2023,24-Aug,94
Fish.Creek,2023,25-Aug,129
Fish.Creek,2023,26-Aug,130
Fish.Creek,2023,27-Aug,47
Fish.Creek,2023,28-Aug,40
Fish.Creek,2023,29-Aug,19
Fish.Creek,2023,30-Aug,29
Fish.Creek,2023,31-Aug,14
Fish.Creek,2023,1-Sep,25
Fish.Creek,2023,2-Sep,15
Fish.Creek,2023,3-Sep,0
Fish.Creek,2023,4-Sep,10
Fish.Creek,2023,5-Sep,0
Fish.Creek,2023,6-Sep,2
Fish.Creek,2023,7-Sep,1
