River,Fishery,Year,Date,Harvest
Kenai,Dip Net,2021,7/27,15729
Kenai,Dip Net,2021,7/28,13801
Kenai,Dip Net,2021,7/29,13541
Kenai,Dip Net,2021,7/30,13741
Kenai,Dip Net,2021,7/31,17958
Kenai,Dip Net,2020,7/10,1969
Kenai,Dip Net,2020,7/11,2252
Kenai,Dip Net,2020,7/12,2350
Kenai,Dip Net,2020,7/13,2637
Kenai,Dip Net,2020,7/14,3543
Kenai,Dip Net,2020,7/15,3723
Kenai,Dip Net,2020,7/16,5398
Kenai,Dip Net,2020,7/17,14055
Kenai,Dip Net,2020,7/18,18357
Kenai,Dip Net,2020,7/19,16454
Kenai,Dip Net,2020,7/20,12305
Kenai,Dip Net,2020,7/21,10253
Kenai,Dip Net,2020,7/22,8180
Kenai,Dip Net,2020,7/23,9187
Kenai,Dip Net,2020,7/24,12402
Kenai,Dip Net,2020,7/25,9456
Kenai,Dip Net,2020,7/26,11375
Kenai,Dip Net,2020,7/27,15743
Kenai,Dip Net,2020,7/28,12210
Kenai,Dip Net,2020,7/29,11135
Kenai,Dip Net,2020,7/30,12523
Kenai,Dip Net,2020,7/31,9700
Kasilof,Dip Net,2023,6/25,1094
Kasilof,Dip Net,2023,6/26,1366
Kasilof,Dip Net,2023,6/27,1238
Kasilof,Dip Net,2023,6/28,1321
Kasilof,Dip Net,2023,6/29,1489
Kasilof,Dip Net,2023,6/30,2219
Kasilof,Dip Net,2023,7/1,3229
Kasilof,Dip Net,2023,7/2,2568
Kasilof,Dip Net,2023,7/3,2171
Kasilof,Dip Net,2023,7/4,2207
Kasilof,Dip Net,2023,7/5,1595
Kasilof,Dip Net,2023,7/6,1464
Kasilof,Dip Net,2023,7/7,3149
Kasilof,Dip Net,2023,7/8,4945
Kasilof,Dip Net,2023,7/9,2350
Kasilof,Dip Net,2023,7/10,2322
Kasilof,Dip Net,2023,7/11,1985
Kasilof,Dip Net,2023,7/12,2610
Kasilof,Dip Net,2023,7/13,2695
Kasilof,Dip Net,2023,7/14,6080
Kasilof,Dip Net,2023,7/15,10023
Kasilof,Dip Net,2023,7/16,7808
Kasilof,Dip Net,2023,7/17,6057
Kasilof,Dip Net,2023,7/18,6198
Kasilof,Dip Net,2023,7/19,5766
Kasilof,Dip Net,2023,7/20,6309
Kasilof,Dip Net,2023,7/21,6605
Kasilof,Dip Net,2023,7/22,8813
Kasilof,Dip Net,2023,7/23,4958
Kasilof,Dip Net,2023,7/24,4967
Kasilof,Dip Net,2023,7/25,5347
Kasilof,Dip Net,2023,7/26,5077
Kasilof,Dip Net,2023,7/27,4845
Kasilof,Dip Net,2023,7/28,4135
Kasilof,Dip Net,2023,7/29,5087
Kasilof,Dip Net,2023,7/30,2783
Kasilof,Dip Net,2023,7/31,2256
Kasilof,Dip Net,2023,8/1,1687
Kasilof,Dip Net,2023,8/2,1614
Kasilof,Dip Net,2023,8/3,2512
Kasilof,Dip Net,2023,8/4,2287
Kasilof,Dip Net,2023,8/5,2930
Kasilof,Dip Net,2023,8/6,1995
Kasilof,Dip Net,2023,8/7,1084
Kasilof,Dip Net,2022,6/25,1391
Kasilof,Dip Net,2022,6/26,1098
Kasilof,Dip Net,2022,6/27,587
Kasilof,Dip Net,2022,6/28,783
Kasilof,Dip Net,2022,6/29,1045
Kasilof,Dip Net,2022,6/30,835
Kasilof,Dip Net,2022,7/1,1314
Kasilof,Dip Net,2022,7/2,2550
Kasilof,Dip Net,2022,7/3,2728
Kasilof,Dip Net,2022,7/4,1636
Kasilof,Dip Net,2022,7/5,2079
Kasilof,Dip Net,2022,7/6,2442
Kasilof,Dip Net,2022,7/7,1950
Kasilof,Dip Net,2022,7/8,3638
Kasilof,Dip Net,2022,7/9,5972
Kasilof,Dip Net,2022,7/10,4012
Kasilof,Dip Net,2022,7/11,1742
Kasilof,Dip Net,2022,7/12,2769
Kasilof,Dip Net,2022,7/13,2323
Kasilof,Dip Net,2022,7/14,1999
Kasilof,Dip Net,2022,7/15,5789
Kasilof,Dip Net,2022,7/16,11007
Kasilof,Dip Net,2022,7/17,5863
Kasilof,Dip Net,2022,7/18,6754
Kasilof,Dip Net,2022,7/19,9010
Kasilof,Dip Net,2022,7/20,7448
Kasilof,Dip Net,2022,7/21,5348
Kasilof,Dip Net,2022,7/22,8655
Kasilof,Dip Net,2022,7/23,9289
Kasilof,Dip Net,2022,7/24,2866
Kasilof,Dip Net,2022,7/25,3595
Kasilof,Dip Net,2022,7/26,3356
Kasilof,Dip Net,2022,7/27,3018
Kasilof,Dip Net,2022,7/28,2332
Kasilof,Dip Net,2022,7/29,2174
Kasilof,Dip Net,2022,7/30,3369
Kasilof,Dip Net,2022,7/31,1913
Kasilof,Dip Net,2022,8/1,1010
Kasilof,Dip Net,2022,8/2,1162
Kasilof,Dip Net,2022,8/3,1373
Kasilof,Dip Net,2022,8/4,1583
Kasilof,Dip Net,2022,8/5,1226
Kasilof,Dip Net,2022,8/6,2462
Kasilof,Dip Net,2022,8/7,1060
Kasilof,Dip Net,2021,6/25,761
Kasilof,Dip Net,2021,6/26,771
Kasilof,Dip Net,2021,6/27,829
Kasilof,Dip Net,2021,6/28,834
Kasilof,Dip Net,2021,6/29,1450
Kasilof,Dip Net,2021,6/30,1241
Kasilof,Dip Net,2021,7/1,898
Kasilof,Dip Net,2021,7/2,2225
Kasilof,Dip Net,2021,7/3,1585
Kasilof,Dip Net,2021,7/4,2317
Kasilof,Dip Net,2021,7/5,873
Kasilof,Dip Net,2021,7/6,1148
Kasilof,Dip Net,2021,7/7,1462
Kasilof,Dip Net,2021,7/8,757
Kasilof,Dip Net,2021,7/9,1439
Kasilof,Dip Net,2021,7/10,2566
Kasilof,Dip Net,2021,7/11,2810
Kasilof,Dip Net,2021,7/12,1578
Kasilof,Dip Net,2021,7/13,1130
Kasilof,Dip Net,2021,7/14,1713
Kasilof,Dip Net,2021,7/15,1749
Kasilof,Dip Net,2021,7/16,3603
Kasilof,Dip Net,2021,7/17,4406
Kasilof,Dip Net,2021,7/18,2267
Kasilof,Dip Net,2021,7/19,2674
Kasilof,Dip Net,2021,7/20,3025
Kasilof,Dip Net,2021,7/21,2113
Kasilof,Dip Net,2021,7/22,3091
Kasilof,Dip Net,2021,7/23,4464
Kasilof,Dip Net,2021,7/24,4875
Kasilof,Dip Net,2021,7/25,2907
Kasilof,Dip Net,2021,7/26,2565
Kasilof,Dip Net,2021,7/27,1860
Kasilof,Dip Net,2021,7/28,2005
Kasilof,Dip Net,2021,7/29,1811
Kasilof,Dip Net,2021,7/30,2196
Kasilof,Dip Net,2021,7/31,2596
Kasilof,Dip Net,2021,8/1,1411
Kasilof,Dip Net,2021,8/2,1039
Kasilof,Dip Net,2021,8/3,906
Kasilof,Dip Net,2021,8/4,1087
Kasilof,Dip Net,2021,8/5,854
Kasilof,Dip Net,2021,8/6,1056
Kasilof,Dip Net,2021,8/7,1188
Kasilof,Dip Net,2020,6/25,632
Kasilof,Dip Net,2020,6/26,1361
Kasilof,Dip Net,2020,6/27,962
Kasilof,Dip Net,2020,6/28,889
Kasilof,Dip Net,2020,6/29,544
Kasilof,Dip Net,2020,6/30,556
Kasilof,Dip Net,2020,7/1,862
Kasilof,Dip Net,2020,7/2,362
Kasilof,Dip Net,2020,7/3,1450
Kasilof,Dip Net,2020,7/4,1506
Kasilof,Dip Net,2020,7/5,969
Kasilof,Dip Net,2020,7/6,921
Kasilof,Dip Net,2020,7/7,1216
Kasilof,Dip Net,2020,7/8,822
Kasilof,Dip Net,2020,7/9,862
Kasilof,Dip Net,2020,7/10,2229
Kasilof,Dip Net,2020,7/11,3297
Kasilof,Dip Net,2020,7/12,2607
Kasilof,Dip Net,2020,7/13,1529
Kasilof,Dip Net,2020,7/14,3008
Kasilof,Dip Net,2020,7/15,1721
Kasilof,Dip Net,2020,7/16,2257
Kasilof,Dip Net,2020,7/17,4300
Kasilof,Dip Net,2020,7/18,4617
Kasilof,Dip Net,2020,7/19,2859
Kasilof,Dip Net,2020,7/20,1658
Kasilof,Dip Net,2020,7/21,1545
Kasilof,Dip Net,2020,7/22,1175
Kasilof,Dip Net,2020,7/23,1699
Kasilof,Dip Net,2020,7/24,2110
Kasilof,Dip Net,2020,7/25,2847
Kasilof,Dip Net,2020,7/26,1988
Kasilof,Dip Net,2020,7/27,2162
Kasilof,Dip Net,2020,7/28,1589
Kasilof,Dip Net,2020,7/29,1326
Kasilof,Dip Net,2020,7/30,1346
Kasilof,Dip Net,2020,7/31,1490
Kasilof,Dip Net,2020,8/1,2132
Kasilof,Dip Net,2020,8/2,1370
Kasilof,Dip Net,2020,8/3,858
Kasilof,Dip Net,2020,8/4,998
Kasilof,Dip Net,2020,8/5,991
Kasilof,Dip Net,2020,8/6,783
Kasilof,Dip Net,2020,8/7,725
Kasilof,Dip Net,2019,6/25,896
Kasilof,Dip Net,2019,6/26,730
Kasilof,Dip Net,2019,6/27,300
Kasilof,Dip Net,2019,6/28,669
Kasilof,Dip Net,2019,6/29,536
Kasilof,Dip Net,2019,6/30,1022
Kasilof,Dip Net,2019,7/1,768
Kasilof,Dip Net,2019,7/2,774
Kasilof,Dip Net,2019,7/3,1043
Kasilof,Dip Net,2019,7/4,1328
Kasilof,Dip Net,2019,7/5,1221
Kasilof,Dip Net,2019,7/6,1746
Kasilof,Dip Net,2019,7/7,1468
Kasilof,Dip Net,2019,7/8,992
Kasilof,Dip Net,2019,7/9,1166
Kasilof,Dip Net,2019,7/10,2136
Kasilof,Dip Net,2019,7/11,921
Kasilof,Dip Net,2019,7/12,2347
Kasilof,Dip Net,2019,7/13,2261
Kasilof,Dip Net,2019,7/14,1764
Kasilof,Dip Net,2019,7/15,1648
Kasilof,Dip Net,2019,7/16,2863
Kasilof,Dip Net,2019,7/17,2891
Kasilof,Dip Net,2019,7/18,1551
Kasilof,Dip Net,2019,7/19,3047
Kasilof,Dip Net,2019,7/20,3767
Kasilof,Dip Net,2019,7/21,1364
Kasilof,Dip Net,2019,7/22,913
Kasilof,Dip Net,2019,7/23,1791
Kasilof,Dip Net,2019,7/24,2340
Kasilof,Dip Net,2019,7/25,1314
Kasilof,Dip Net,2019,7/26,2138
Kasilof,Dip Net,2019,7/27,2625
Kasilof,Dip Net,2019,7/28,897
Kasilof,Dip Net,2019,7/29,642
Kasilof,Dip Net,2019,7/30,990
Kasilof,Dip Net,2019,7/31,556
Kasilof,Dip Net,2019,8/1,499
Kasilof,Dip Net,2019,8/2,549
Kasilof,Dip Net,2019,8/3,525
Kasilof,Dip Net,2019,8/4,738
Kasilof,Dip Net,2019,8/5,641
Kasilof,Dip Net,2019,8/6,548
Kasilof,Dip Net,2019,8/7,411
Kasilof,Gillnet,2022,6/15,776
Kasilof,Gillnet,2022,6/16,525
Kasilof,Gillnet,2022,6/17,436
Kasilof,Gillnet,2022,6/18,222
Kasilof,Gillnet,2022,6/19,58
Kasilof,Gillnet,2022,6/20,341
Kasilof,Gillnet,2022,6/21,697
Kasilof,Gillnet,2022,6/22,1304
Kasilof,Gillnet,2022,6/23,336
Kasilof,Gillnet,2022,6/24,1185
